aha-1	Larvae	+	ce10
alr-1	Larvae	+	ce10
aly-2	Larvae	+	ce10
ama-1	Adult,Embryo,Larvae	+	ce10
ash-2	Adult,Embryo	+	ce10
atfs-1	Adult	+	ce10
blmp-1	Embryo,Larvae	+	ce10
capg-1	Embryo	+	ce10
capg-2	Embryo	+	ce10
cbp-1	Embryo	+	ce10
cec-3	Adult	+	ce10
cec-5	Adult	+	ce10
cec-7	Adult	+	ce10
ceh-16	Larvae	+	ce10
ceh-28	Larvae	+	ce10
ceh-30	Embryo	+	ce10
ceh-37	Larvae	+	ce10
ceh-39	Embryo	+	ce10
ceh-51	Embryo	+	ce10
ceh-82	Larvae	+	ce10
ces-1	Embryo,Larvae	+	ce10
chd-3	Adult	+	ce10
coh-1	Adult	+	ce10
coh-3	Adult	+	ce10
csr-1	Adult	+	ce10
daf-12	Larvae	+	ce10
daf-16	Adult	+	ce10
dpl-1	Adult,Embryo,Larvae	+	ce10
dpy-26	Embryo	+	ce10
dpy-27	Adult,Embryo,Larvae	+	ce10
dpy-28	Embryo	+	ce10
dpy-30	Embryo	+	ce10
dve-1	Adult,Embryo,Larvae	+	ce10
efl-1	Adult,Embryo,Larvae	+	ce10
egl-27	Larvae	+	ce10
egl-5	Larvae	+	ce10
elt-1	Larvae	+	ce10
elt-2	Larvae	+	ce10
elt-3	Embryo,Larvae	+	ce10
eor-1	Larvae	+	ce10
epc-1	Larvae	+	ce10
fkh-10	Embryo,Larvae	+	ce10
fkh-2	Larvae	+	ce10
fkh-7	Larvae	+	ce10
fos-1	Larvae	+	ce10
gmeb-1	Larvae	+	ce10
ham-1	Larvae	+	ce10
hcp-3	Embryo	+	ce10
hcp-4	Embryo	+	ce10
hcp-6	Embryo	+	ce10
hda-1	Adult,Embryo,Larvae	+	ce10
hif-1	Larvae	+	ce10
him-1	Adult,Larvae	+	ce10
him-17	Adult	+	ce10
him-3	Adult	+	ce10
him-5	Adult	+	ce10
him-8	Adult	+	ce10
hlh-1	Embryo	+	ce10
hlh-30	Embryo,Larvae	+	ce10
hpl-2	Adult,Larvae	+	ce10
htp-3	Adult	+	ce10
imb-1	Embryo	+	ce10
jmjd-2	Larvae	+	ce10
jun-1	Larvae	+	ce10
kle-2	Adult,Embryo,Larvae	+	ce10
lag-1	Larvae	+	ce10
lem-2	Embryo	+	ce10
let-418	Adult,Larvae	+	ce10
let-607	Adult	+	ce10
lin-11	Larvae	+	ce10
lin-13	Adult,Embryo,Larvae	+	ce10
lin-15B	Larvae	+	ce10
lin-35	Adult,Embryo,Larvae	+	ce10
lin-36	Larvae	+	ce10
lin-37	Embryo,Larvae	+	ce10
lin-39	Larvae	+	ce10
lin-42	-	+	ce10
lin-52	Embryo,Larvae	+	ce10
lin-53	Larvae	+	ce10
lin-54	Embryo,Larvae	+	ce10
lin-61	Adult,Larvae	+	ce10
lin-9	Embryo,Larvae	+	ce10
lsy-2	Embryo,Larvae	+	ce10
mab-5	Embryo,Larvae	+	ce10
mau-2	Embryo	+	ce10
mdl-1	Larvae	+	ce10
mdt-15	Embryo	+	ce10
med-1	Embryo	+	ce10
mef-2	Larvae	+	ce10
mep-1	Embryo	+	ce10
met-2	Adult	+	ce10
mis-12	Embryo	+	ce10
mix-1	Embryo	+	ce10
mml-1	Larvae	+	ce10
mre-11	Adult	+	ce10
mrg-1	Adult,Embryo,Larvae	+	ce10
msh-5	Adult	+	ce10
